global_id,left_track_id,left_count,right_track_id,right_count
170,1586,360,1754,755
171,1596,60,1854,64
172,1598,1723,1708,3757
173,1599,1184,1856,2390
174,1608,736,1860,760
175,1646,1688,2037,614
176,1650,1893,2050,560
177,1651,1924,1878,1965
178,1652,993,1887,1133
179,1653,576,1880,836
180,1691,9,1916,9
181,1645,789,1900,225
182,1823,1451,2106,850
183,1826,760,2052,407
184,1827,896,1921,1702
185,1854,488,2090,544
186,1893,497,2064,737
187,1901,1059,2104,988
188,1907,485,1720,4300
189,1906,370,2129,170
190,1933,231,2135,248
191,1935,48,2134,103
192,1937,553,2143,272
193,1941,83,2139,63
194,1945,247,2140,539
195,1950,476,2145,687
196,1952,68,2148,262
197,1956,531,2150,500
198,1961,315,2155,456
199,1964,1735,2142,2271
200,1965,1419,2157,1425
201,1966,710,2159,859
202,1975,713,2133,2659
203,1982,296,2168,101
204,1985,49,2174,37
205,1988,34,2177,91
206,1990,1859,2176,1961
207,1992,86,2178,90
208,1995,217,2179,1183
209,1996,1645,2196,300
210,1999,501,2183,1075
211,2001,195,2190,233
212,2008,104,2198,142
213,2012,41,2202,228
214,2013,227,2206,473
215,2019,6,2215,21
216,2022,112,2216,242
217,2014,748,2220,399
218,2029,148,2222,187
219,2032,145,2224,443
220,2034,104,2229,56
221,2043,368,2243,272
222,2047,183,2241,208
223,2049,1164,2231,1714
224,2052,483,2238,967
225,2062,16,2252,22
226,2068,401,2253,503
227,2072,1286,2259,483
228,2073,228,2263,232
229,2074,719,2265,1366
230,2075,100,2264,96
231,2077,2445,2288,979
232,2078,2480,2266,2480
233,2079,1516,2275,1261
234,2082,410,2271,411
235,2084,135,2272,109
236,2086,2621,2234,4008
237,2087,1792,2282,2010
238,2089,1200,2277,1268
239,2090,3251,2269,6101
240,2088,639,2279,654
241,2091,1267,2268,1851
242,2093,736,2285,596
243,2108,21,2296,24
244,2137,2422,2284,3325
245,2143,187,2369,110
246,2176,121,2379,205
247,2177,2252,2297,2157
248,2178,39,2383,128
249,2179,754,2419,382
250,2180,2512,2457,1540
251,2182,847,2392,886
252,2183,1909,2391,4124
253,2216,2706,2461,2055
254,2225,432,2451,178
255,2244,2089,2586,828
256,2245,1457,2459,1353
257,2247,185,2455,505
258,2249,566,2458,664
259,2251,1198,2462,1226
260,2288,2026,2551,1038
261,2322,590,2506,945
262,2321,1015,2552,1030
263,2329,249,2260,4761
264,2332,189,2570,464
265,2330,1171,2501,3231
266,2337,1017,2594,1255
267,2342,14,2598,15
268,2343,280,2600,297
269,2349,1618,2601,1899
270,2350,824,2599,965
271,2351,766,2602,1490
272,2361,496,2605,2021
273,2476,4611,2809,3518
274,2491,462,2615,1116
275,2552,905,2847,898
276,2555,2541,2848,1036
277,2556,173,2857,599
278,2562,844,2873,1874
279,2563,453,2872,750
280,2575,57,2893,53
